,Mes,Casos_r,Casos_p
0,2007-01-31,1625.0,1625.0
1,2007-02-28,3189.0,3189.0
2,2007-03-31,7899.0,7899.0
3,2007-04-30,8351.0,8351.0
4,2007-05-31,4547.0,4547.0
5,2007-06-30,1059.0,1059.0
6,2007-07-31,341.0,341.0
7,2007-08-31,117.0,117.0
8,2007-09-30,120.0,120.0
9,2007-10-31,264.0,264.0
10,2007-11-30,365.0,365.0
11,2007-12-31,626.0000000000001,626.0000000000001
12,2008-01-31,1556.0,1556.0
13,2008-02-29,3456.0,3456.0
14,2008-03-31,9981.0,9981.0
15,2008-04-30,18181.0,18181.0
16,2008-05-31,10463.0,10463.0
17,2008-06-30,2942.9999999999995,2942.9999999999995
18,2008-07-31,393.0,393.0
19,2008-08-31,207.00000000000003,207.00000000000003
20,2008-09-30,186.0,186.0
21,2008-10-31,353.99999999999994,353.99999999999994
22,2008-11-30,765.0,765.0
23,2008-12-31,709.0,709.0
24,2009-01-31,3038.9999999999995,3038.9999999999995
25,2009-02-28,6491.999999999999,6491.999999999999
26,2009-03-31,15054.0,15054.0
27,2009-04-30,13451.0,13451.0
28,2009-05-31,9506.0,9506.0
29,2009-06-30,2288.0,2288.0
30,2009-07-31,838.0000000000001,838.0000000000001
31,2009-08-31,256.0,256.0
32,2009-09-30,155.0,155.0
33,2009-10-31,338.0,338.0
34,2009-11-30,1309.0,1309.0
35,2009-12-31,3031.0,3031.0
36,2010-01-31,14626.999999999998,14626.999999999998
37,2010-02-28,28887.0,28887.0
38,2010-03-31,55242.0,55242.0
39,2010-04-30,62142.0,62142.0
40,2010-05-31,37691.0,37691.0
41,2010-06-30,6178.999999999999,6178.999999999999
42,2010-07-31,1635.0,1635.0
43,2010-08-31,635.0000000000001,635.0000000000001
44,2010-09-30,501.0000000000001,501.0000000000001
45,2010-10-31,426.0,426.0
46,2010-11-30,862.0000000000001,862.0000000000001
47,2010-12-31,2182.0,2182.0
48,2011-01-31,3882.0000000000005,3882.0000000000005
49,2011-02-28,5361.999999999999,5361.999999999999
50,2011-03-31,6543.000000000001,6543.000000000001
51,2011-04-30,7873.0,7873.0
52,2011-05-31,6422.000000000001,6422.000000000001
53,2011-06-30,1491.0,1491.0
54,2011-07-31,508.0,508.0
55,2011-08-31,303.0,303.0
56,2011-09-30,268.0,268.0
57,2011-10-31,348.0,348.0
58,2011-11-30,428.0,428.0
59,2011-12-31,670.0,670.0
60,2012-01-31,2283.0,2283.0
61,2012-02-29,2541.0,2541.0
62,2012-03-31,3850.9999999999995,3850.9999999999995
63,2012-04-30,4741.0,4741.0
64,2012-05-31,3865.0,3865.0
65,2012-06-30,2513.0,2513.0
66,2012-07-31,1229.0,1229.0
67,2012-08-31,657.0,657.0
68,2012-09-30,550.0,550.0
69,2012-10-31,676.0,676.0
70,2012-11-30,1170.0,1170.0
71,2012-12-31,5801.0,5801.0
72,2013-01-31,35383.0,35383.0
73,2013-02-28,62298.0,62298.0
74,2013-03-31,147089.0,147089.0
75,2013-04-30,124362.0,124362.0
