,Mes,Casos,Codigo,Descricao
0,2014-01-31,3,1,Em branco/IGN
1,2014-02-28,4,1,Em branco/IGN
2,2014-03-31,4,1,Em branco/IGN
3,2014-04-30,8,1,Em branco/IGN
4,2014-05-31,1,1,Em branco/IGN
5,2014-06-30,0,1,Em branco/IGN
6,2014-07-31,1,1,Em branco/IGN
7,2014-08-31,0,1,Em branco/IGN
8,2014-09-30,0,1,Em branco/IGN
9,2014-10-31,0,1,Em branco/IGN
10,2014-11-30,1,1,Em branco/IGN
11,2014-12-31,0,1,Em branco/IGN
12,2015-01-31,1,1,Em branco/IGN
13,2015-02-28,2,1,Em branco/IGN
14,2015-03-31,2,1,Em branco/IGN
15,2015-04-30,9,1,Em branco/IGN
16,2015-05-31,5,1,Em branco/IGN
17,2015-06-30,3,1,Em branco/IGN
18,2015-07-31,0,1,Em branco/IGN
19,2015-08-31,0,1,Em branco/IGN
20,2015-09-30,0,1,Em branco/IGN
21,2015-10-31,0,1,Em branco/IGN
22,2015-11-30,0,1,Em branco/IGN
23,2015-12-31,4,1,Em branco/IGN
24,2016-01-31,21,1,Em branco/IGN
25,2016-02-29,41,1,Em branco/IGN
26,2016-03-31,46,1,Em branco/IGN
27,2016-04-30,33,1,Em branco/IGN
28,2016-05-31,11,1,Em branco/IGN
29,2016-06-30,0,1,Em branco/IGN
30,2016-07-31,0,1,Em branco/IGN
31,2016-08-31,1,1,Em branco/IGN
32,2016-09-30,0,1,Em branco/IGN
33,2016-10-31,0,1,Em branco/IGN
34,2016-11-30,0,1,Em branco/IGN
35,2016-12-31,2,1,Em branco/IGN
36,2017-01-31,2,1,Em branco/IGN
37,2017-02-28,1,1,Em branco/IGN
38,2017-03-31,1,1,Em branco/IGN
39,2017-04-30,0,1,Em branco/IGN
40,2017-05-31,1,1,Em branco/IGN
41,2017-06-30,0,1,Em branco/IGN
42,2017-07-31,0,1,Em branco/IGN
43,2017-08-31,0,1,Em branco/IGN
44,2017-09-30,1,1,Em branco/IGN
45,2017-10-31,0,1,Em branco/IGN
46,2017-11-30,0,1,Em branco/IGN
47,2017-12-31,1,1,Em branco/IGN
48,2018-01-31,0,1,Em branco/IGN
49,2018-02-28,0,1,Em branco/IGN
50,2018-03-31,0,1,Em branco/IGN
51,2018-04-30,3,1,Em branco/IGN
52,2018-05-31,1,1,Em branco/IGN
53,2018-06-30,0,1,Em branco/IGN
54,2018-07-31,0,1,Em branco/IGN
55,2018-08-31,2,1,Em branco/IGN
56,2018-09-30,0,1,Em branco/IGN
57,2018-10-31,1,1,Em branco/IGN
58,2018-11-30,1,1,Em branco/IGN
59,2018-12-31,1,1,Em branco/IGN
60,2019-01-31,7,1,Em branco/IGN
61,2019-02-28,30,1,Em branco/IGN
62,2019-03-31,89,1,Em branco/IGN
63,2019-04-30,121,1,Em branco/IGN
64,2019-05-31,98,1,Em branco/IGN
65,2019-06-30,13,1,Em branco/IGN
66,2019-07-31,2,1,Em branco/IGN
67,2019-08-31,1,1,Em branco/IGN
68,2019-09-30,0,1,Em branco/IGN
69,2019-10-31,1,1,Em branco/IGN
70,2019-11-30,0,1,Em branco/IGN
71,2019-12-31,1,1,Em branco/IGN
72,2020-01-31,3,1,Em branco/IGN
73,2020-02-29,23,1,Em branco/IGN
74,2020-03-31,7,1,Em branco/IGN
75,2020-04-30,7,1,Em branco/IGN
76,2020-05-31,4,1,Em branco/IGN
77,2020-06-30,1,1,Em branco/IGN
78,2020-07-31,1,1,Em branco/IGN
79,2020-08-31,0,1,Em branco/IGN
80,2020-09-30,0,1,Em branco/IGN
81,2020-10-31,0,1,Em branco/IGN
82,2020-11-30,0,1,Em branco/IGN
83,2020-12-31,1,1,Em branco/IGN
84,2021-01-31,0,1,Em branco/IGN
85,2021-02-28,0,1,Em branco/IGN
86,2021-03-31,7,1,Em branco/IGN
87,2021-04-30,4,1,Em branco/IGN
88,2021-05-31,0,1,Em branco/IGN
89,2021-06-30,0,1,Em branco/IGN
90,2021-07-31,0,1,Em branco/IGN
91,2021-08-31,0,1,Em branco/IGN
92,2021-09-30,2,1,Em branco/IGN
93,2021-10-31,1,1,Em branco/IGN
94,2021-11-30,2,1,Em branco/IGN
95,2021-12-31,0,1,Em branco/IGN
96,2022-01-31,2,1,Em branco/IGN
97,2022-02-28,14,1,Em branco/IGN
98,2022-03-31,36,1,Em branco/IGN
99,2022-04-30,68,1,Em branco/IGN
100,2022-05-31,77,1,Em branco/IGN
101,2022-06-30,55,1,Em branco/IGN
102,2022-07-31,7,1,Em branco/IGN
