,Mes,Casos,Codigo,Descricao
0,2014-01-31,1106,1,Ign/Branco
1,2014-02-28,1421,1,Ign/Branco
2,2014-03-31,1892,1,Ign/Branco
3,2014-04-30,2999,1,Ign/Branco
4,2014-05-31,2059,1,Ign/Branco
5,2014-06-30,946,1,Ign/Branco
6,2014-07-31,346,1,Ign/Branco
7,2014-08-31,209,1,Ign/Branco
8,2014-09-30,190,1,Ign/Branco
9,2014-10-31,220,1,Ign/Branco
10,2014-11-30,368,1,Ign/Branco
11,2014-12-31,478,1,Ign/Branco
12,2015-01-31,981,1,Ign/Branco
13,2015-02-28,1577,1,Ign/Branco
14,2015-03-31,4723,1,Ign/Branco
15,2015-04-30,9684,1,Ign/Branco
16,2015-05-31,10722,1,Ign/Branco
17,2015-06-30,3798,1,Ign/Branco
18,2015-07-31,1089,1,Ign/Branco
19,2015-08-31,433,1,Ign/Branco
20,2015-09-30,347,1,Ign/Branco
21,2015-10-31,413,1,Ign/Branco
22,2015-11-30,1042,1,Ign/Branco
23,2015-12-31,4467,1,Ign/Branco
24,2016-01-31,11303,1,Ign/Branco
25,2016-02-29,36410,1,Ign/Branco
26,2016-03-31,48287,1,Ign/Branco
27,2016-04-30,32718,1,Ign/Branco
28,2016-05-31,10682,1,Ign/Branco
29,2016-06-30,1649,1,Ign/Branco
30,2016-07-31,464,1,Ign/Branco
31,2016-08-31,190,1,Ign/Branco
32,2016-09-30,153,1,Ign/Branco
33,2016-10-31,182,1,Ign/Branco
34,2016-11-30,375,1,Ign/Branco
35,2016-12-31,733,1,Ign/Branco
36,2017-01-31,1903,1,Ign/Branco
37,2017-02-28,1154,1,Ign/Branco
38,2017-03-31,1260,1,Ign/Branco
39,2017-04-30,859,1,Ign/Branco
40,2017-05-31,663,1,Ign/Branco
41,2017-06-30,334,1,Ign/Branco
42,2017-07-31,154,1,Ign/Branco
43,2017-08-31,160,1,Ign/Branco
44,2017-09-30,190,1,Ign/Branco
45,2017-10-31,246,1,Ign/Branco
46,2017-11-30,317,1,Ign/Branco
47,2017-12-31,419,1,Ign/Branco
48,2018-01-31,469,1,Ign/Branco
49,2018-02-28,531,1,Ign/Branco
50,2018-03-31,695,1,Ign/Branco
51,2018-04-30,981,1,Ign/Branco
52,2018-05-31,669,1,Ign/Branco
53,2018-06-30,306,1,Ign/Branco
54,2018-07-31,205,1,Ign/Branco
55,2018-08-31,151,1,Ign/Branco
56,2018-09-30,167,1,Ign/Branco
57,2018-10-31,344,1,Ign/Branco
58,2018-11-30,519,1,Ign/Branco
59,2018-12-31,1096,1,Ign/Branco
60,2019-01-31,3173,1,Ign/Branco
61,2019-02-28,6281,1,Ign/Branco
62,2019-03-31,13120,1,Ign/Branco
63,2019-04-30,28329,1,Ign/Branco
64,2019-05-31,30856,1,Ign/Branco
65,2019-06-30,9572,1,Ign/Branco
66,2019-07-31,1887,1,Ign/Branco
67,2019-08-31,586,1,Ign/Branco
68,2019-09-30,614,1,Ign/Branco
69,2019-10-31,424,1,Ign/Branco
70,2019-11-30,430,1,Ign/Branco
71,2019-12-31,701,1,Ign/Branco
72,2020-01-31,2132,1,Ign/Branco
73,2020-02-29,3807,1,Ign/Branco
74,2020-03-31,5072,1,Ign/Branco
75,2020-04-30,4870,1,Ign/Branco
