,Mes,Casos,Codigo,Descricao
0,2007-01-31,8,3101,3101 SUL
1,2007-02-28,19,3101,3101 SUL
2,2007-03-31,242,3101,3101 SUL
3,2007-04-30,306,3101,3101 SUL
4,2007-05-31,234,3101,3101 SUL
5,2007-06-30,52,3101,3101 SUL
6,2007-07-31,11,3101,3101 SUL
7,2007-08-31,3,3101,3101 SUL
8,2007-09-30,6,3101,3101 SUL
9,2007-10-31,7,3101,3101 SUL
10,2007-11-30,11,3101,3101 SUL
11,2007-12-31,5,3101,3101 SUL
12,2008-01-31,10,3101,3101 SUL
13,2008-02-29,14,3101,3101 SUL
14,2008-03-31,59,3101,3101 SUL
15,2008-04-30,90,3101,3101 SUL
16,2008-05-31,26,3101,3101 SUL
17,2008-06-30,1,3101,3101 SUL
18,2008-07-31,1,3101,3101 SUL
19,2008-08-31,0,3101,3101 SUL
20,2008-09-30,3,3101,3101 SUL
21,2008-10-31,1,3101,3101 SUL
22,2008-11-30,4,3101,3101 SUL
23,2008-12-31,5,3101,3101 SUL
24,2009-01-31,15,3101,3101 SUL
25,2009-02-28,4,3101,3101 SUL
26,2009-03-31,17,3101,3101 SUL
27,2009-04-30,12,3101,3101 SUL
28,2009-05-31,7,3101,3101 SUL
29,2009-06-30,2,3101,3101 SUL
30,2009-07-31,1,3101,3101 SUL
31,2009-08-31,0,3101,3101 SUL
32,2009-09-30,0,3101,3101 SUL
33,2009-10-31,0,3101,3101 SUL
34,2009-11-30,5,3101,3101 SUL
35,2009-12-31,4,3101,3101 SUL
36,2010-01-31,79,3101,3101 SUL
37,2010-02-28,801,3101,3101 SUL
38,2010-03-31,2219,3101,3101 SUL
39,2010-04-30,2648,3101,3101 SUL
40,2010-05-31,1247,3101,3101 SUL
41,2010-06-30,124,3101,3101 SUL
42,2010-07-31,42,3101,3101 SUL
43,2010-08-31,36,3101,3101 SUL
44,2010-09-30,9,3101,3101 SUL
45,2010-10-31,17,3101,3101 SUL
46,2010-11-30,17,3101,3101 SUL
47,2010-12-31,21,3101,3101 SUL
48,2011-01-31,35,3101,3101 SUL
49,2011-02-28,69,3101,3101 SUL
50,2011-03-31,231,3101,3101 SUL
51,2011-04-30,451,3101,3101 SUL
52,2011-05-31,436,3101,3101 SUL
53,2011-06-30,50,3101,3101 SUL
54,2011-07-31,20,3101,3101 SUL
55,2011-08-31,4,3101,3101 SUL
56,2011-09-30,3,3101,3101 SUL
57,2011-10-31,8,3101,3101 SUL
58,2011-11-30,7,3101,3101 SUL
59,2011-12-31,10,3101,3101 SUL
