MACRORREGIAO;MUNICIPIO
3101;ALFENAS
3101;ALPINOPOLIS
3101;ALTEROSA
3101;ANDRADAS
3101;ARCEBURGO
3101;AREADO
3101;BAEPENDI
3101;BANDEIRA DO SUL
3101;BOA ESPERANCA
3101;BOM JESUS DA PENHA
3101;BORDA DA MATA
3101;BOTELHOS
3101;BRAZOPOLIS
3101;CABO VERDE
3101;CACHOEIRA DE MINAS
3101;CALDAS
3101;CAMBUI
3101;CAMBUQUIRA
3101;CAMPANHA
3101;CAMPO DO MEIO
3101;CAMPOS GERAIS
3101;CAPETINGA
3101;CAPITOLIO
3101;CARMO DA CACHOEIRA
3101;CARMO DE MINAS
3101;CARMO DO RIO CLARO
3101;CAXAMBU
3101;CLARAVAL
3101;CONCEICAO DA APARECIDA
3101;CONCEICAO DOS OUROS
3101;CONGONHAL
3101;COQUEIRAL
3101;CORDISLANDIA
3101;CRUZILIA
3101;DELFINOPOLIS
3101;DIVISA NOVA
3101;DORESOPOLIS
3101;ELOI MENDES
3101;ESPIRITO SANTO DO DOURADO
3101;EXTREMA
3101;FAMA
3101;GUARANESIA
3101;GUAXUPE
3101;HELIODORA
3101;IBIRACI
3101;IJACI
3101;INCONFIDENTES
3101;ITAJUBA
3101;ITAMONTE
3101;ITANHANDU
3101;ITAPEVA
3101;ITAU DE MINAS
3101;JESUANIA
3101;JURUAIA
3101;LAMBARI
3101;LAVRAS
3101;LUMINARIAS
3101;MACHADO
3101;MONSENHOR PAULO
3101;MONTE BELO
3101;MONTE SANTO DE MINAS
3101;NEPOMUCENO
3101;PARAISOPOLIS
3101;PASSA QUATRO
3101;PASSOS
3101;PEDRALVA
3101;PERDOES
3101;PIMENTA
3101;PIRANGUCU
3101;PIUMHI
3101;POCOS DE CALDAS
3101;POUSO ALEGRE
3101;PRATAPOLIS
3101;SANTA RITA DO SAPUCAI
3101;SANTANA DA VARGEM
3101;SAO BENTO ABADE
3101;SAO GONCALO DO SAPUCAI
3101;SAO JOSE DA BARRA
3101;SAO LOURENCO
3101;SAO PEDRO DA UNIAO
3101;SAO ROQUE DE MINAS
3101;SAO SEBASTIAO DO PARAISO
3101;SAO SEBASTIAO DO RIO VERDE
3101;SAO THOME DAS LETRAS
3101;SERITINGA
3101;SERRANIA
3101;SOLEDADE DE MINAS
3101;TOLEDO
3101;TRES CORACOES
3101;TRES PONTAS
3101;VARGINHA
3102;BARBACENA
3102;BARROSO
3102;BOM SUCESSO
3102;CARANDAI
3102;CONGONHAS
3102;CONSELHEIRO LAFAIETE
3102;CORONEL XAVIER CHAVES
3102;DORES DE CAMPOS
3102;ENTRE RIOS DE MINAS
3102;IBERTIOGA
3102;LAGOA DOURADA
3102;LAMIM
3102;OURO BRANCO
3102;PIRANGA
3102;PRADOS
3102;SANTA CRUZ DE MINAS
3102;SAO JOAO DEL REI
3102;SAO TIAGO
3102;SAO VICENTE DE MINAS
3102;SENHORA DOS REMEDIOS
3103;ABAETE
3103;BALDIM
3103;BARAO DE COCAIS
3103;BELO HORIZONTE
3103;BETIM
3103;BIQUINHAS
3103;BONFIM
3103;BRUMADINHO
3103;BUENOPOLIS
3103;CACHOEIRA DA PRATA
3103;CAETANOPOLIS
3103;CAETE
3103;CAPIM BRANCO
3103;CATAS ALTAS
3103;CONFINS
3103;CONTAGEM
3103;CORINTO
3103;CRUCILANDIA
3103;CURVELO
3103;DORES DE GUANHAES
3103;ESMERALDAS
3103;FELIXLANDIA
3103;FLORESTAL
3103;FORTUNA DE MINAS
3103;FUNILANDIA
3103;GUANHAES
3103;IBIRITE
3103;IGARAPE
3103;INHAUMA
3103;INIMUTABA
3103;ITABIRA
3103;ITABIRITO
3103;JABOTICATUBAS
3103;JOAO MONLEVADE
3103;JUATUBA
3103;LAGOA SANTA
3103;MARAVILHAS
3103;MARIANA
3103;MARIO CAMPOS
3103;MATEUS LEME
3103;MATOZINHOS
3103;MOEDA
3103;MONJOLOS
3103;MORADA NOVA DE MINAS
3103;MORRO DA GARCA
3103;NOVA ERA
3103;NOVA LIMA
3103;NOVA UNIAO
3103;OURO PRETO
3103;PAINEIRAS
3103;PAPAGAIOS
3103;PARAOPEBA
3103;PEDRO LEOPOLDO
3103;PEQUI
3103;POMPEU
