;Ano;Codigo;Codigo_Mes;Periodo;Casos;Descricao
0;2014;1;1;2014.01;1;Ign/Branco
1;2014;1;2;2014.02;0;Ign/Branco
2;2014;1;3;2014.03;0;Ign/Branco
3;2014;1;4;2014.04;1;Ign/Branco
4;2014;1;5;2014.05;0;Ign/Branco
5;2014;1;6;2014.06;0;Ign/Branco
6;2014;1;7;2014.07;0;Ign/Branco
7;2014;1;8;2014.08;0;Ign/Branco
8;2014;1;9;2014.09;3;Ign/Branco
9;2014;1;10;2014.10;6;Ign/Branco
10;2014;1;11;2014.11;3;Ign/Branco
11;2014;1;12;2014.12;1;Ign/Branco
12;2016;1;1;2016.01;1;Ign/Branco
13;2016;1;2;2016.02;5;Ign/Branco
14;2016;1;3;2016.03;15;Ign/Branco
15;2016;1;4;2016.04;28;Ign/Branco
16;2016;1;5;2016.05;14;Ign/Branco
17;2016;1;6;2016.06;2;Ign/Branco
18;2016;1;7;2016.07;0;Ign/Branco
19;2016;1;8;2016.08;2;Ign/Branco
20;2016;1;9;2016.09;4;Ign/Branco
21;2016;1;10;2016.10;2;Ign/Branco
22;2016;1;11;2016.11;3;Ign/Branco
23;2016;1;12;2016.12;3;Ign/Branco
24;2017;1;1;2017.01;19;Ign/Branco
25;2017;1;2;2017.02;9;Ign/Branco
26;2017;1;3;2017.03;8;Ign/Branco
27;2017;1;4;2017.04;8;Ign/Branco
28;2017;1;5;2017.05;2;Ign/Branco
29;2017;1;6;2017.06;0;Ign/Branco
30;2017;1;7;2017.07;3;Ign/Branco
31;2017;1;8;2017.08;2;Ign/Branco
32;2017;1;9;2017.09;0;Ign/Branco
33;2017;1;10;2017.10;1;Ign/Branco
34;2017;1;11;2017.11;5;Ign/Branco
35;2017;1;12;2017.12;2;Ign/Branco
36;2018;1;1;2018.01;2;Ign/Branco
37;2018;1;2;2018.02;3;Ign/Branco
38;2018;1;3;2018.03;1;Ign/Branco
39;2018;1;4;2018.04;2;Ign/Branco
40;2018;1;5;2018.05;10;Ign/Branco
41;2018;1;6;2018.06;5;Ign/Branco
42;2018;1;7;2018.07;3;Ign/Branco
43;2018;1;8;2018.08;2;Ign/Branco
44;2018;1;9;2018.09;0;Ign/Branco
45;2018;1;10;2018.10;3;Ign/Branco
46;2018;1;11;2018.11;6;Ign/Branco
47;2018;1;12;2018.12;33;Ign/Branco
48;2019;1;1;2019.01;43;Ign/Branco
49;2019;1;2;2019.02;60;Ign/Branco
50;2019;1;3;2019.03;137;Ign/Branco
51;2019;1;4;2019.04;192;Ign/Branco
52;2019;1;5;2019.05;120;Ign/Branco
53;2019;1;6;2019.06;59;Ign/Branco
54;2019;1;7;2019.07;10;Ign/Branco
55;2019;1;8;2019.08;4;Ign/Branco
56;2019;1;9;2019.09;3;Ign/Branco
57;2019;1;10;2019.10;8;Ign/Branco
58;2019;1;11;2019.11;2;Ign/Branco
59;2019;1;12;2019.12;3;Ign/Branco
60;2020;1;1;2020.01;27;Ign/Branco
61;2020;1;2;2020.02;37;Ign/Branco
62;2020;1;3;2020.03;54;Ign/Branco
63;2020;1;4;2020.04;49;Ign/Branco
64;2020;1;5;2020.05;21;Ign/Branco
65;2020;1;6;2020.06;9;Ign/Branco
66;2020;1;7;2020.07;1;Ign/Branco
67;2020;1;8;2020.08;3;Ign/Branco
68;2020;1;9;2020.09;2;Ign/Branco
69;2020;1;10;2020.10;4;Ign/Branco
70;2020;1;11;2020.11;2;Ign/Branco
71;2020;1;12;2020.12;4;Ign/Branco
72;2021;1;1;2021.01;4;Ign/Branco
73;2021;1;2;2021.02;3;Ign/Branco
74;2021;1;3;2021.03;11;Ign/Branco
75;2021;1;4;2021.04;5;Ign/Branco
76;2021;1;5;2021.05;5;Ign/Branco
77;2021;1;6;2021.06;6;Ign/Branco
78;2021;1;7;2021.07;4;Ign/Branco
79;2021;1;8;2021.08;2;Ign/Branco
80;2021;1;9;2021.09;1;Ign/Branco
81;2021;1;10;2021.10;10;Ign/Branco
82;2021;1;11;2021.11;196;Ign/Branco
83;2021;1;12;2021.12;1233;Ign/Branco
84;2014;2;1;2014.01;774;Inconclusivo
85;2014;2;2;2014.02;969;Inconclusivo
86;2014;2;3;2014.03;1533;Inconclusivo
87;2014;2;4;2014.04;2037;Inconclusivo
88;2014;2;5;2014.05;1316;Inconclusivo
89;2014;2;6;2014.06;499;Inconclusivo
90;2014;2;7;2014.07;214;Inconclusivo
91;2014;2;8;2014.08;167;Inconclusivo
92;2014;2;9;2014.09;154;Inconclusivo
93;2014;2;10;2014.10;186;Inconclusivo
94;2014;2;11;2014.11;321;Inconclusivo
95;2014;2;12;2014.12;420;Inconclusivo
96;2015;2;1;2015.01;709;Inconclusivo
97;2015;2;2;2015.02;1453;Inconclusivo
98;2015;2;3;2015.03;3875;Inconclusivo
99;2015;2;4;2015.04;7655;Inconclusivo
100;2015;2;5;2015.05;7249;Inconclusivo
101;2015;2;6;2015.06;2438;Inconclusivo
102;2015;2;7;2015.07;727;Inconclusivo
103;2015;2;8;2015.08;304;Inconclusivo
104;2015;2;9;2015.09;295;Inconclusivo
105;2015;2;10;2015.10;375;Inconclusivo
106;2015;2;11;2015.11;1036;Inconclusivo
107;2015;2;12;2015.12;3542;Inconclusivo
108;2016;2;1;2016.01;8322;Inconclusivo
109;2016;2;2;2016.02;25106;Inconclusivo
110;2016;2;3;2016.03;31208;Inconclusivo
111;2016;2;4;2016.04;22483;Inconclusivo
112;2016;2;5;2016.05;5121;Inconclusivo
113;2016;2;6;2016.06;527;Inconclusivo
114;2016;2;7;2016.07;171;Inconclusivo
115;2016;2;8;2016.08;160;Inconclusivo
116;2016;2;9;2016.09;130;Inconclusivo
117;2016;2;10;2016.10;178;Inconclusivo
118;2016;2;11;2016.11;343;Inconclusivo
119;2016;2;12;2016.12;974;Inconclusivo
120;2017;2;1;2017.01;1834;Inconclusivo
121;2017;2;2;2017.02;825;Inconclusivo
122;2017;2;3;2017.03;1122;Inconclusivo
123;2017;2;4;2017.04;707;Inconclusivo
124;2017;2;5;2017.05;542;Inconclusivo
125;2017;2;6;2017.06;270;Inconclusivo
126;2017;2;7;2017.07;115;Inconclusivo
127;2017;2;8;2017.08;146;Inconclusivo
128;2017;2;9;2017.09;165;Inconclusivo
129;2017;2;10;2017.10;235;Inconclusivo
130;2017;2;11;2017.11;282;Inconclusivo
131;2017;2;12;2017.12;452;Inconclusivo
132;2018;2;1;2018.01;424;Inconclusivo
133;2018;2;2;2018.02;455;Inconclusivo
134;2018;2;3;2018.03;617;Inconclusivo
135;2018;2;4;2018.04;758;Inconclusivo
136;2018;2;5;2018.05;533;Inconclusivo
137;2018;2;6;2018.06;233;Inconclusivo
138;2018;2;7;2018.07;169;Inconclusivo
139;2018;2;8;2018.08;128;Inconclusivo
140;2018;2;9;2018.09;157;Inconclusivo
141;2018;2;10;2018.10;299;Inconclusivo
142;2018;2;11;2018.11;489;Inconclusivo
143;2018;2;12;2018.12;1087;Inconclusivo
