;Ano;Codigo;Codigo_Mes;Periodo;Casos;Descricao
0;2014;1;1;2014.01;1106;Ign/Branco
1;2014;1;2;2014.02;1421;Ign/Branco
2;2014;1;3;2014.03;1892;Ign/Branco
3;2014;1;4;2014.04;2999;Ign/Branco
4;2014;1;5;2014.05;2059;Ign/Branco
5;2014;1;6;2014.06;946;Ign/Branco
6;2014;1;7;2014.07;346;Ign/Branco
7;2014;1;8;2014.08;209;Ign/Branco
8;2014;1;9;2014.09;191;Ign/Branco
9;2014;1;10;2014.10;220;Ign/Branco
10;2014;1;11;2014.11;368;Ign/Branco
11;2014;1;12;2014.12;478;Ign/Branco
12;2015;1;1;2015.01;981;Ign/Branco
13;2015;1;2;2015.02;1577;Ign/Branco
14;2015;1;3;2015.03;4723;Ign/Branco
15;2015;1;4;2015.04;9684;Ign/Branco
16;2015;1;5;2015.05;10722;Ign/Branco
17;2015;1;6;2015.06;3799;Ign/Branco
18;2015;1;7;2015.07;1089;Ign/Branco
19;2015;1;8;2015.08;433;Ign/Branco
20;2015;1;9;2015.09;347;Ign/Branco
21;2015;1;10;2015.10;413;Ign/Branco
22;2015;1;11;2015.11;1042;Ign/Branco
23;2015;1;12;2015.12;4467;Ign/Branco
24;2016;1;1;2016.01;11303;Ign/Branco
25;2016;1;2;2016.02;36410;Ign/Branco
26;2016;1;3;2016.03;48287;Ign/Branco
27;2016;1;4;2016.04;32718;Ign/Branco
28;2016;1;5;2016.05;10682;Ign/Branco
29;2016;1;6;2016.06;1649;Ign/Branco
30;2016;1;7;2016.07;464;Ign/Branco
31;2016;1;8;2016.08;191;Ign/Branco
32;2016;1;9;2016.09;153;Ign/Branco
33;2016;1;10;2016.10;182;Ign/Branco
34;2016;1;11;2016.11;375;Ign/Branco
35;2016;1;12;2016.12;733;Ign/Branco
36;2017;1;1;2017.01;1903;Ign/Branco
37;2017;1;2;2017.02;1154;Ign/Branco
38;2017;1;3;2017.03;1260;Ign/Branco
39;2017;1;4;2017.04;859;Ign/Branco
40;2017;1;5;2017.05;663;Ign/Branco
41;2017;1;6;2017.06;334;Ign/Branco
42;2017;1;7;2017.07;154;Ign/Branco
43;2017;1;8;2017.08;160;Ign/Branco
44;2017;1;9;2017.09;191;Ign/Branco
45;2017;1;10;2017.10;246;Ign/Branco
46;2017;1;11;2017.11;317;Ign/Branco
47;2017;1;12;2017.12;419;Ign/Branco
48;2018;1;1;2018.01;469;Ign/Branco
49;2018;1;2;2018.02;531;Ign/Branco
50;2018;1;3;2018.03;696;Ign/Branco
51;2018;1;4;2018.04;981;Ign/Branco
