;Ano;Codigo;Codigo_Mes;Periodo;Casos;Descricao
0;2014;1;1;2014.01;3;Em branco/IGN
1;2014;1;2;2014.02;4;Em branco/IGN
2;2014;1;3;2014.03;4;Em branco/IGN
3;2014;1;4;2014.04;8;Em branco/IGN
4;2014;1;5;2014.05;1;Em branco/IGN
5;2014;1;6;2014.06;0;Em branco/IGN
6;2014;1;7;2014.07;1;Em branco/IGN
7;2014;1;8;2014.08;0;Em branco/IGN
8;2014;1;9;2014.09;0;Em branco/IGN
9;2014;1;10;2014.10;0;Em branco/IGN
10;2014;1;11;2014.11;1;Em branco/IGN
11;2014;1;12;2014.12;0;Em branco/IGN
12;2015;1;1;2015.01;1;Em branco/IGN
13;2015;1;2;2015.02;2;Em branco/IGN
14;2015;1;3;2015.03;2;Em branco/IGN
15;2015;1;4;2015.04;9;Em branco/IGN
16;2015;1;5;2015.05;5;Em branco/IGN
17;2015;1;6;2015.06;3;Em branco/IGN
18;2015;1;7;2015.07;0;Em branco/IGN
19;2015;1;8;2015.08;0;Em branco/IGN
20;2015;1;9;2015.09;0;Em branco/IGN
21;2015;1;10;2015.10;0;Em branco/IGN
22;2015;1;11;2015.11;0;Em branco/IGN
23;2015;1;12;2015.12;4;Em branco/IGN
24;2016;1;1;2016.01;21;Em branco/IGN
25;2016;1;2;2016.02;41;Em branco/IGN
26;2016;1;3;2016.03;46;Em branco/IGN
27;2016;1;4;2016.04;33;Em branco/IGN
28;2016;1;5;2016.05;11;Em branco/IGN
29;2016;1;6;2016.06;0;Em branco/IGN
30;2016;1;7;2016.07;0;Em branco/IGN
31;2016;1;8;2016.08;1;Em branco/IGN
32;2016;1;9;2016.09;0;Em branco/IGN
33;2016;1;10;2016.10;0;Em branco/IGN
34;2016;1;11;2016.11;0;Em branco/IGN
35;2016;1;12;2016.12;2;Em branco/IGN
36;2017;1;1;2017.01;2;Em branco/IGN
37;2017;1;2;2017.02;1;Em branco/IGN
38;2017;1;3;2017.03;1;Em branco/IGN
39;2017;1;4;2017.04;0;Em branco/IGN
40;2017;1;5;2017.05;1;Em branco/IGN
41;2017;1;6;2017.06;0;Em branco/IGN
42;2017;1;7;2017.07;0;Em branco/IGN
43;2017;1;8;2017.08;0;Em branco/IGN
44;2017;1;9;2017.09;1;Em branco/IGN
45;2017;1;10;2017.10;0;Em branco/IGN
46;2017;1;11;2017.11;0;Em branco/IGN
47;2017;1;12;2017.12;1;Em branco/IGN
48;2018;1;1;2018.01;0;Em branco/IGN
49;2018;1;2;2018.02;0;Em branco/IGN
50;2018;1;3;2018.03;0;Em branco/IGN
51;2018;1;4;2018.04;3;Em branco/IGN
52;2018;1;5;2018.05;1;Em branco/IGN
53;2018;1;6;2018.06;0;Em branco/IGN
54;2018;1;7;2018.07;0;Em branco/IGN
55;2018;1;8;2018.08;2;Em branco/IGN
56;2018;1;9;2018.09;0;Em branco/IGN
57;2018;1;10;2018.10;1;Em branco/IGN
58;2018;1;11;2018.11;1;Em branco/IGN
59;2018;1;12;2018.12;1;Em branco/IGN
60;2019;1;1;2019.01;7;Em branco/IGN
61;2019;1;2;2019.02;30;Em branco/IGN
62;2019;1;3;2019.03;89;Em branco/IGN
63;2019;1;4;2019.04;121;Em branco/IGN
64;2019;1;5;2019.05;98;Em branco/IGN
65;2019;1;6;2019.06;13;Em branco/IGN
66;2019;1;7;2019.07;2;Em branco/IGN
67;2019;1;8;2019.08;1;Em branco/IGN
68;2019;1;9;2019.09;0;Em branco/IGN
69;2019;1;10;2019.10;1;Em branco/IGN
