;Ano;Codigo;Codigo_Mes;Periodo;Casos;Descricao
0;2007;3101;1;2007.01;8;3101 SUL
1;2007;3101;2;2007.02;19;3101 SUL
2;2007;3101;3;2007.03;242;3101 SUL
3;2007;3101;4;2007.04;306;3101 SUL
4;2007;3101;5;2007.05;234;3101 SUL
5;2007;3101;6;2007.06;52;3101 SUL
6;2007;3101;7;2007.07;11;3101 SUL
7;2007;3101;8;2007.08;3;3101 SUL
8;2007;3101;9;2007.09;6;3101 SUL
9;2007;3101;10;2007.10;7;3101 SUL
10;2007;3101;11;2007.11;11;3101 SUL
11;2007;3101;12;2007.12;5;3101 SUL
12;2008;3101;1;2008.01;10;3101 SUL
13;2008;3101;2;2008.02;14;3101 SUL
14;2008;3101;3;2008.03;59;3101 SUL
15;2008;3101;4;2008.04;90;3101 SUL
16;2008;3101;5;2008.05;26;3101 SUL
17;2008;3101;6;2008.06;1;3101 SUL
18;2008;3101;7;2008.07;1;3101 SUL
19;2008;3101;8;2008.08;0;3101 SUL
20;2008;3101;9;2008.09;3;3101 SUL
21;2008;3101;10;2008.10;1;3101 SUL
22;2008;3101;11;2008.11;4;3101 SUL
23;2008;3101;12;2008.12;5;3101 SUL
24;2009;3101;1;2009.01;15;3101 SUL
25;2009;3101;2;2009.02;4;3101 SUL
26;2009;3101;3;2009.03;17;3101 SUL
27;2009;3101;4;2009.04;12;3101 SUL
28;2009;3101;5;2009.05;7;3101 SUL
29;2009;3101;6;2009.06;2;3101 SUL
30;2009;3101;7;2009.07;1;3101 SUL
31;2009;3101;8;2009.08;0;3101 SUL
32;2009;3101;9;2009.09;0;3101 SUL
33;2009;3101;10;2009.10;0;3101 SUL
34;2009;3101;11;2009.11;5;3101 SUL
35;2009;3101;12;2009.12;4;3101 SUL
36;2010;3101;1;2010.01;79;3101 SUL
37;2010;3101;2;2010.02;801;3101 SUL
38;2010;3101;3;2010.03;2219;3101 SUL
39;2010;3101;4;2010.04;2648;3101 SUL
40;2010;3101;5;2010.05;1247;3101 SUL
41;2010;3101;6;2010.06;124;3101 SUL
42;2010;3101;7;2010.07;42;3101 SUL
43;2010;3101;8;2010.08;36;3101 SUL
44;2010;3101;9;2010.09;9;3101 SUL
45;2010;3101;10;2010.10;17;3101 SUL
46;2010;3101;11;2010.11;17;3101 SUL
47;2010;3101;12;2010.12;21;3101 SUL
48;2011;3101;1;2011.01;35;3101 SUL
49;2011;3101;2;2011.02;69;3101 SUL
50;2011;3101;3;2011.03;231;3101 SUL
51;2011;3101;4;2011.04;451;3101 SUL
52;2011;3101;5;2011.05;436;3101 SUL
53;2011;3101;6;2011.06;50;3101 SUL
54;2011;3101;7;2011.07;20;3101 SUL
55;2011;3101;8;2011.08;4;3101 SUL
56;2011;3101;9;2011.09;3;3101 SUL
57;2011;3101;10;2011.10;8;3101 SUL
58;2011;3101;11;2011.11;7;3101 SUL
59;2011;3101;12;2011.12;10;3101 SUL
60;2012;3101;1;2012.01;21;3101 SUL
61;2012;3101;2;2012.02;13;3101 SUL
62;2012;3101;3;2012.03;21;3101 SUL
63;2012;3101;4;2012.04;54;3101 SUL
64;2012;3101;5;2012.05;32;3101 SUL
65;2012;3101;6;2012.06;18;3101 SUL
66;2012;3101;7;2012.07;10;3101 SUL
67;2012;3101;8;2012.08;4;3101 SUL
68;2012;3101;9;2012.09;4;3101 SUL
69;2012;3101;10;2012.10;5;3101 SUL
70;2012;3101;11;2012.11;8;3101 SUL
71;2012;3101;12;2012.12;13;3101 SUL
72;2013;3101;1;2013.01;69;3101 SUL
73;2013;3101;2;2013.02;164;3101 SUL
74;2013;3101;3;2013.03;1167;3101 SUL
75;2013;3101;4;2013.04;1643;3101 SUL
76;2013;3101;5;2013.05;674;3101 SUL
77;2013;3101;6;2013.06;239;3101 SUL
78;2013;3101;7;2013.07;41;3101 SUL
79;2013;3101;8;2013.08;23;3101 SUL
80;2013;3101;9;2013.09;8;3101 SUL
81;2013;3101;10;2013.10;7;3101 SUL
82;2013;3101;11;2013.11;17;3101 SUL
83;2013;3101;12;2013.12;17;3101 SUL
84;2014;3101;1;2014.01;210;3101 SUL
85;2014;3101;2;2014.02;1117;3101 SUL
86;2014;3101;3;2014.03;1794;3101 SUL
87;2014;3101;4;2014.04;4105;3101 SUL
88;2014;3101;5;2014.05;1943;3101 SUL
89;2014;3101;6;2014.06;604;3101 SUL
90;2014;3101;7;2014.07;88;3101 SUL
91;2014;3101;8;2014.08;34;3101 SUL
92;2014;3101;9;2014.09;23;3101 SUL
93;2014;3101;10;2014.10;34;3101 SUL
94;2014;3101;11;2014.11;62;3101 SUL
95;2014;3101;12;2014.12;108;3101 SUL
96;2015;3101;1;2015.01;1070;3101 SUL
97;2015;3101;2;2015.02;1612;3101 SUL
98;2015;3101;3;2015.03;5554;3101 SUL
99;2015;3101;4;2015.04;10191;3101 SUL
100;2015;3101;5;2015.05;8387;3101 SUL
101;2015;3101;6;2015.06;1511;3101 SUL
102;2015;3101;7;2015.07;176;3101 SUL
103;2015;3101;8;2015.08;67;3101 SUL
104;2015;3101;9;2015.09;40;3101 SUL
105;2015;3101;10;2015.10;77;3101 SUL
106;2015;3101;11;2015.11;88;3101 SUL
107;2015;3101;12;2015.12;303;3101 SUL
108;2016;3101;1;2016.01;1103;3101 SUL
109;2016;3101;2;2016.02;2929;3101 SUL
110;2016;3101;3;2016.03;3963;3101 SUL
111;2016;3101;4;2016.04;4780;3101 SUL
112;2016;3101;5;2016.05;2166;3101 SUL
113;2016;3101;6;2016.06;295;3101 SUL
114;2016;3101;7;2016.07;72;3101 SUL
115;2016;3101;8;2016.08;79;3101 SUL
116;2016;3101;9;2016.09;109;3101 SUL
117;2016;3101;10;2016.10;144;3101 SUL
118;2016;3101;11;2016.11;141;3101 SUL
119;2016;3101;12;2016.12;116;3101 SUL
120;2017;3101;1;2017.01;311;3101 SUL
121;2017;3101;2;2017.02;478;3101 SUL
122;2017;3101;3;2017.03;705;3101 SUL
123;2017;3101;4;2017.04;477;3101 SUL
124;2017;3101;5;2017.05;270;3101 SUL
125;2017;3101;6;2017.06;74;3101 SUL
126;2017;3101;7;2017.07;25;3101 SUL
127;2017;3101;8;2017.08;20;3101 SUL
128;2017;3101;9;2017.09;37;3101 SUL
129;2017;3101;10;2017.10;49;3101 SUL
130;2017;3101;11;2017.11;54;3101 SUL
131;2017;3101;12;2017.12;62;3101 SUL
132;2018;3101;1;2018.01;70;3101 SUL
133;2018;3101;2;2018.02;67;3101 SUL
134;2018;3101;3;2018.03;50;3101 SUL
135;2018;3101;4;2018.04;109;3101 SUL
136;2018;3101;5;2018.05;104;3101 SUL
137;2018;3101;6;2018.06;40;3101 SUL
