DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Minas Gerais
Casos Prováveis por Macrorreg.Saúde/Munic.de notif e Mês notificação
Período:2017
"Macrorreg.Saúde/Munic.de notif";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"3101 SUL";311;478;705;477;270;74;25;20;37;49;54;62;2562
".....  PEDRALVA";1;2;-;-;-;-;-;-;-;-;-;-;3
".....  CAMPO DO MEIO";-;2;-;-;-;-;-;-;-;1;1;3;7
".....  CAMPOS GERAIS";-;1;-;-;-;-;-;-;-;-;-;-;1
".....  POCOS DE CALDAS";1;-;-;-;-;-;-;-;-;3;3;-;7
".....  CAMPANHA";-;2;3;2;-;-;-;1;-;1;2;-;11
".....  BORDA DA MATA";-;-;-;-;-;-;1;-;-;-;1;-;2
".....  BOTELHOS";-;-;1;-;-;-;-;-;-;-;-;-;1
".....  CARMO DA CACHOEIRA";4;-;1;1;-;-;-;-;-;-;-;1;7
".....  CONCEICAO DA APARECIDA";1;-;-;-;-;-;-;-;-;2;-;-;3
".....  POUSO ALEGRE";2;2;-;1;-;1;1;1;2;-;1;1;12
".....  PRATAPOLIS";12;26;19;2;8;-;-;1;1;-;-;-;69
".....  CABO VERDE";-;-;1;-;-;-;-;-;-;-;-;-;1
".....  EXTREMA";2;1;-;-;1;-;-;-;-;-;-;-;4
".....  CORDISLANDIA";-;-;-;1;-;-;-;-;-;-;-;-;1
".....  CONCEICAO DOS OUROS";2;-;-;1;-;1;-;-;-;-;-;-;4
".....  DIVISA NOVA";-;1;1;2;-;-;1;3;1;4;5;3;21
".....  CONGONHAL";-;-;1;-;-;-;-;-;-;-;1;-;2
".....  COQUEIRAL";-;-;1;2;1;-;-;-;-;-;-;-;4
".....  CRUZILIA";-;-;-;2;1;-;-;-;-;-;-;-;3
".....  PIRANGUCU";-;-;1;-;-;-;-;-;-;-;-;-;1
".....  PERDOES";-;-;-;2;2;-;-;-;-;-;-;-;4
".....  SANTANA DA VARGEM";1;-;-;-;1;-;-;-;-;-;-;3;5
".....  HELIODORA";-;-;-;2;-;-;-;-;-;-;-;-;2
".....  SAO LOURENCO";-;-;2;-;-;-;-;-;-;-;-;-;2
".....  ITANHANDU";-;-;1;-;-;-;-;-;-;-;-;1;2
".....  SERITINGA";-;-;-;-;-;-;-;-;-;1;-;-;1
".....  ITAPEVA";-;1;-;-;-;-;-;-;-;-;-;-;1
".....  IJACI";-;-;3;-;-;-;-;-;-;-;-;1;4
".....  INCONFIDENTES";-;-;-;-;2;-;-;-;-;-;1;3;6
".....  ITAJUBA";1;-;-;1;-;-;-;1;2;1;1;1;8
".....  SAO SEBASTIAO DO RIO VERDE";-;1;-;-;-;-;-;-;-;-;-;-;1
".....  MACHADO";1;-;-;-;-;1;-;-;-;-;-;-;2
".....  TRES CORACOES";111;302;418;128;26;-;-;-;-;1;1;-;987
".....  TRES PONTAS";7;9;29;66;66;15;7;1;1;1;2;1;205
".....  ALFENAS";7;4;2;8;8;-;1;2;3;8;3;4;50
".....  ALTEROSA";-;-;-;-;-;-;-;-;9;4;-;-;13
".....  ALPINOPOLIS";-;-;-;-;1;-;-;-;-;-;-;-;1
".....  ANDRADAS";1;-;1;-;-;-;-;-;-;-;-;-;2
".....  MONSENHOR PAULO";-;1;14;37;13;17;1;-;1;2;2;-;88
".....  AREADO";3;-;-;-;-;-;-;-;-;-;-;-;3
".....  BAEPENDI";-;-;-;1;-;1;-;-;-;1;1;-;4
".....  MONTE SANTO DE MINAS";-;2;-;-;-;-;-;-;-;-;-;-;2
".....  NEPOMUCENO";-;-;4;2;1;1;1;-;-;-;-;-;9
".....  BOA ESPERANCA";-;1;2;1;1;-;-;-;-;1;2;-;8
".....  CAPITOLIO";1;2;-;1;-;-;-;-;-;1;1;-;6
